HORA,LUNES (Vocab + Reading),MARTES (Vocab + Grammar),MIÉRCOLES (Reading + Grammar),JUEVES (Vocab/Grammar + Listening ),VIERNES (Conversation / Arena + Listening),SÁBADO (Conversation / Arena + Listening)
6:00 PM,B1 (Modal Verbs),A1 (Adv. Found),B2 (Structures),A2 (Adv. Struct),B1 (Foundation),B1 (Foundation)
7:00 PM,A1 (Adv. Found),B1 (Foundation),A2 (Adv. Struct),B2 (Structures),B2 (Structures),B2 (Structures)
8:00 PM,B2 (Structures),A2 (Adv. Struct),B1 (Foundation),A1 (Adv. Found),A1 (Adv. Found),A1 (Adv. Found)
9:00 PM,A2 (Adv. Struct),B2 (Structures),A1 (Adv. Found),B1 (Foundation),A2 (Adv. Struct),A2 (Adv. Struct)
,,,,,,
,,,,,,
HORA,LUNES (Reading + Vocab),MARTES (Grammar + Vocab),MIÉRCOLES (Reading + Grammar),JUEVES (Grammar + Vocab),VIERNES (Conversation / Arena),VIERNES (Conversation / Arena)
6:00 PM,A1 (Adv. Found),B1 (Foundation),A2 (Adv. Struct),B2 (Structures),A1 (Adv. Found),A1 (Adv. Found)
7:00 PM,B1 (Present Simple),A1 (Adv. Found),B2 (Structures),A2 (Adv. Struct),A2 (Adv. Struct),A2 (Adv. Struct)
8:00 PM,A2 (Adv. Struct),B2 (Structures),A1 (Adv. Found),B1 (Foundation),B1 (Foundation),B1 (Foundation)
9:00 PM,B2 (Structures),A2 (Adv. Struct),B1 (Foundation),A1 (Adv. Found),B2 (Structures),B2 (Structures)
   ,,,,,,
HORA,LUNES (Reading + Vocab),MARTES (Grammar + Vocab),MIÉRCOLES (Reading + Grammar),JUEVES (Grammar + Vocab),VIERNES (Conversation / Arena),VIERNES (Conversation / Arena)
6:00 PM,A1 (Adv. Found),B1 (Foundation),A2 (Adv. Struct),B2 (Structures),A1 (Adv. Found),A1 (Adv. Found)
7:00 PM,B1 (Foundation),A1 (Adv. Found),B2 (Structures),A2 (Adv. Struct),A2 (Adv. Struct),A2 (Adv. Struct)
8:00 PM,A2 (Adv. Struct),B2 (Structures),A1 (Adv. Found),B1 (Foundation),B1 (Foundation),B1 (Foundation)
9:00 PM,B2 (Structures),A2 (Adv. Struct),B1 (Foundation),A1 (Adv. Found),B2 (Structures),B2 (Structures)
