Pack,#,Infinitive,Past Simple,Past Participle,Traducción (ES),Estado
Irregular A-F,1,be,was / were,been,ser / estar,
Irregular A-F,2,become,became,become,convertirse en,
Irregular A-F,3,begin,began,begun,comenzar,
Irregular A-F,4,bite,bit,bitten,morder,
Irregular A-F,5,blow,blew,blown,soplar,
Irregular A-F,6,break,broke,broken,romper,
Irregular A-F,7,bring,brought,brought,traer,
Irregular A-F,8,build,built,built,construir,
Irregular A-F,9,buy,bought,bought,comprar,
Irregular A-F,10,catch,caught,caught,atrapar,
Irregular A-F,11,choose,chose,chosen,elegir,
Irregular A-F,12,come,came,come,venir,
Irregular A-F,13,cost,cost,cost,costar,
Irregular A-F,14,cut,cut,cut,cortar,
Irregular A-F,15,dig,dug,dug,cavar,
Irregular A-F,16,do,did,done,hacer,
Irregular A-F,17,draw,drew,drawn,dibujar / sacar,
Irregular A-F,18,dream,dreamt,dreamt,soñar,
Irregular A-F,19,drink,drank,drunk,beber,
Irregular A-F,20,drive,drove,driven,manejar,
Irregular A-F,21,eat,ate,eaten,comer,
Irregular A-F,22,fall,fell,fallen,caer,
Irregular A-F,23,feed,fed,fed,alimentar,
Irregular A-F,24,feel,felt,felt,sentir,
Irregular A-F,25,fight,fought,fought,pelear,
Irregular A-F,26,find,found,found,encontrar,
Irregular A-F,27,fly,flew,flown,volar,
Irregular A-F,28,forget,forgot,forgotten,olvidar,
Irregular A-F,29,forgive,forgave,forgiven,perdonar,
Irregular A-F,30,freeze,froze,frozen,congelar,
Irregular G-M,1,get,got,got,obtener / ponerse,
Irregular G-M,2,give,gave,given,dar,
Irregular G-M,3,go,went,gone,ir,
Irregular G-M,4,grow,grew,grown,crecer,
Irregular G-M,5,hang,hung,hung,colgar,
Irregular G-M,6,have,had,had,tener,
Irregular G-M,7,hear,heard,heard,escuchar,
Irregular G-M,8,hide,hid,hidden,esconder,
Irregular G-M,9,hit,hit,hit,golpear,
Irregular G-M,10,hold,held,held,sostener,
Irregular G-M,11,hurt,hurt,hurt,lastimar,
Irregular G-M,12,keep,kept,kept,mantener / guardar,
Irregular G-M,13,know,knew,known,saber / conocer,
Irregular G-M,14,lay,laid,laid,poner / colocar,
Irregular G-M,15,lead,led,led,liderar,
Irregular G-M,16,learn,learnt,learnt,aprender,
Irregular G-M,17,leave,left,left,irse / dejar,
Irregular G-M,18,lend,lent,lent,prestar,
Irregular G-M,19,let,let,let,dejar / permitir,
Irregular G-M,20,lie,lay,lain,acostarse / yacer,
Irregular G-M,21,light,lit,lit,encender,
Irregular G-M,22,lose,lost,lost,perder,
Irregular G-M,23,make,made,made,hacer / fabricar,
Irregular G-M,24,mean,meant,meant,significar,
Irregular G-M,25,meet,met,met,conocer / reunirse,
Irregular G-M,26,pay,paid,paid,pagar,
Irregular G-M,27,put,put,put,poner,
Irregular G-M,28,read,read,read,leer,
Irregular G-M,29,ride,rode,ridden,montar,
Irregular G-M,30,ring,rang,rung,llamar / sonar,
Irregular R-S,1,rise,rose,risen,subir / levantarse,
Irregular R-S,2,run,ran,run,correr,
Irregular R-S,3,say,said,said,decir,
Irregular R-S,4,see,saw,seen,ver,
Irregular R-S,5,sell,sold,sold,vender,
Irregular R-S,6,send,sent,sent,enviar,
Irregular R-S,7,set,set,set,establecer / fijar,
Irregular R-S,8,shake,shook,shaken,sacudir,
Irregular R-S,9,shine,shone,shone,brillar,
Irregular R-S,10,shoot,shot,shot,disparar,
Irregular R-S,11,show,showed,shown,mostrar,
Irregular R-S,12,shut,shut,shut,cerrar,
Irregular R-S,13,sing,sang,sung,cantar,
Irregular R-S,14,sit,sat,sat,sentarse,
Irregular R-S,15,sleep,slept,slept,dormir,
Irregular R-S,16,speak,spoke,spoken,hablar,
Irregular R-S,17,spend,spent,spent,gastar / pasar (tiempo),
Irregular R-S,18,stand,stood,stood,pararse / soportar,
Irregular R-S,19,steal,stole,stolen,robar,
Irregular R-S,20,stick,stuck,stuck,pegar / atascarse,
Irregular R-S,21,strike,struck,struck,golpear / huelga,
Irregular R-S,22,swim,swam,swum,nadar,
Irregular R-S,23,swing,swung,swung,balancear,
Irregular R-S,24,take,took,taken,tomar / llevar,
Irregular R-S,25,teach,taught,taught,enseñar,
Irregular R-S,26,tear,tore,torn,rasgar / llorar,
Irregular R-S,27,tell,told,told,contar / decir,
Irregular R-S,28,think,thought,thought,pensar,
Irregular R-S,29,throw,threw,thrown,lanzar,
Irregular R-S,30,understand,understood,understood,entender,
Irregular T-W,1,wake,woke,woken,despertar,
Irregular T-W,2,wear,wore,worn,usar (ropa),
Irregular T-W,3,win,won,won,ganar,
Irregular T-W,4,write,wrote,written,escribir,
Irregular T-W,5,bet,bet,bet,apostar,
Irregular T-W,6,bind,bound,bound,atar / encuadernar,
Irregular T-W,7,broadcast,broadcast,broadcast,transmitir,
Irregular T-W,8,burst,burst,burst,estallar,
Irregular T-W,9,cast,cast,cast,lanzar / proyectar,
Irregular T-W,10,cling,clung,clung,aferrarse,
Irregular T-W,11,creep,crept,crept,arrastrarse,
Irregular T-W,12,deal,dealt,dealt,tratar / repartir,
Irregular T-W,13,dive,dove,dived,zambullirse,
Irregular T-W,14,flee,fled,fled,huir,
Irregular T-W,15,fling,flung,flung,arrojar,
Irregular T-W,16,forbid,forbade,forbidden,prohibir,
Irregular T-W,17,grind,ground,ground,moler / rechinar,
Irregular T-W,18,kneel,knelt,knelt,arrodillarse,
Irregular T-W,19,lean,leant,leant,recostarse / inclinarse,
Irregular T-W,20,leap,leapt,leapt,saltar,
Irregular T-W,21,overcome,overcame,overcome,superar,
Irregular T-W,22,rid,rid,rid,deshacerse de,
Irregular T-W,23,seek,sought,sought,buscar,
Irregular T-W,24,sew,sewed,sewn,coser,
Irregular T-W,25,shed,shed,shed,derramar / mudar,
Irregular T-W,26,shrink,shrank,shrunk,encoger,
Irregular T-W,27,sow,sowed,sown,sembrar,
Irregular T-W,28,spin,spun,spun,girar / hilar,
Irregular T-W,29,split,split,split,dividir / partir,
